,Coefficient
MonthlyCharges,0.2617260335641173
tenure,-0.652480553157952
TotalCharges,-0.07497699068021739
Partner_No,0.015521389262978656
Partner_Yes,-0.01549853180020932
Dependents_No,0.047558575112923114
Dependents_Yes,-0.04753571765015361
PhoneService_No,0.053213537223364506
PhoneService_Yes,-0.05319067976059541
MultipleLines_No,-0.12300590181460701
MultipleLines_No phone service,0.053213537223364506
MultipleLines_Yes,0.0698152220540117
InternetService_DSL,-0.21524673739519481
InternetService_Fiber optic,0.28112403064789887
InternetService_No,-0.06585443578993497
OnlineSecurity_No,0.2202454122595172
OnlineSecurity_No internet service,-0.06585443578993497
OnlineSecurity_Yes,-0.1543681190068128
OnlineBackup_No,0.10992399472547694
OnlineBackup_No internet service,-0.06585443578993493
OnlineBackup_Yes,-0.044046701472772454
DeviceProtection_No,0.10211424520272168
DeviceProtection_No internet service,-0.06585443578993497
DeviceProtection_Yes,-0.03623695195001722
TechSupport_No,0.2066099956949442
TechSupport_No internet service,-0.06585443578993497
TechSupport_Yes,-0.14073270244224012
StreamingTV_No,-0.03472451373289231
StreamingTV_No internet service,-0.06585443578993497
StreamingTV_Yes,0.10060180698559656
StreamingMovies_No,-0.06117689838280673
StreamingMovies_No internet service,-0.06585443578993493
StreamingMovies_Yes,0.12705419163551107
Contract_Month-to-month,0.4581665438651081
Contract_One year,-0.08989235762081171
Contract_Two year,-0.3682513287815269
PaperlessBilling_No,-0.1356433899183678
PaperlessBilling_Yes,0.13566624738113714
PaymentMethod_Bank transfer (automatic),-0.07108289679992819
PaymentMethod_Credit card (automatic),-0.0900206757314576
PaymentMethod_Electronic check,0.237138023891844
PaymentMethod_Mailed check,-0.07601159389768876
SeniorCitizen_No,-0.11432018483790483
SeniorCitizen_Yes,0.11434304230067412
