,precision,recall,f1-score,support
non-Churn,0.9235618597320725,0.7394321766561515,0.8213034337771549,1585.0
Churn,0.5106635071090048,0.8162878787878788,0.6282798833819243,528.0
accuracy,0.7586370089919545,0.7586370089919545,0.7586370089919545,0.7586370089919545
macro avg,0.7171126834205386,0.7778600277220151,0.7247916585795395,2113.0
weighted avg,0.8203861237240367,0.7586370089919545,0.7730703837967091,2113.0
